visitorid,num_items_viewed,view_count,num_items_added,items_added,bought_count,purchased
20167,1,4,1,2,1,1
20389,1,3,1,1,1,1
20815,1,2,1,1,1,1
20984,2,6,1,1,1,1
21048,1,2,1,1,1,1
21070,2,5,1,1,1,1
21079,1,1,1,1,1,1
21302,1,3,1,1,1,1
21574,1,8,1,1,1,1
21610,11,21,5,6,3,1
21712,24,37,14,15,6,1
21976,3,9,1,1,1,1
22079,1,2,1,1,1,1
22090,1,2,1,1,1,1
22276,1,8,1,1,1,1
22596,1,1,1,1,1,1
22666,2,4,1,1,1,1
22778,3,6,1,3,1,1
22944,2,4,1,1,1,1
22990,16,33,9,14,11,1
22998,6,12,1,1,1,1
23076,18,29,4,4,2,1
23497,1,3,1,1,1,1
23645,1,1,1,1,1,1
23730,2,2,1,1,1,1
23964,0,0,1,1,1,1
24067,2,2,1,1,2,1
24142,1,1,1,1,1,1
24166,1,1,1,1,1,1
24409,10,11,2,2,2,1
24644,5,22,2,2,1,1
24662,1,1,1,1,1,1
24688,1,7,1,1,1,1
24722,11,16,3,3,3,1
24840,7,18,6,9,1,1
25040,1,1,1,1,1,1
25081,1,1,1,1,1,1
25094,1,1,1,1,1,1
25156,14,21,3,3,2,1
25481,1,2,1,1,1,1
25809,1,5,1,2,1,1
25896,1,3,2,2,2,1
25922,36,45,3,3,2,1
26032,1,2,1,1,1,1
26189,6,11,1,1,1,1
26533,4,5,3,3,3,1
26626,3,8,3,3,1,1
26761,1,6,1,1,1,1
26872,2,3,1,1,1,1
26923,2,4,1,1,1,1
27197,1,2,1,1,1,1
27326,26,27,1,1,1,1
27360,13,20,1,1,1,1
27695,6,21,2,3,3,1
27851,5,8,4,4,4,1
28085,1,1,1,1,1,1
28161,3,5,1,1,1,1
28308,1,3,1,1,1,1
28387,17,21,1,1,1,1
28524,1,1,1,1,1,1
28791,1,2,1,1,1,1
28797,1,2,1,1,1,1
28896,2,3,1,1,1,1
29529,2,6,1,1,1,1
29531,1,3,1,1,1,1
29659,4,6,0,0,1,1
29744,5,8,3,5,2,1
29757,11,18,4,5,1,1
29802,31,38,3,3,3,1
29835,1,1,1,1,1,1
30374,1,3,1,1,2,1
30438,2,3,1,1,1,1
30633,1,9,1,1,1,1
30687,1,2,0,0,1,1
30812,1,1,0,0,1,1
30824,6,10,0,0,1,1
31149,1,3,1,1,1,1
31236,3,3,1,1,1,1
31314,6,18,1,1,1,1
31359,1,2,1,1,1,1
31557,4,4,1,1,1,1
31613,6,15,1,1,1,1
31645,30,40,10,10,3,1
31677,1,1,1,1,1,1
31741,0,0,2,2,2,1
31798,2,4,2,2,2,1
31843,1,1,1,1,1,1
31874,4,5,0,0,1,1
31929,2,4,2,2,1,1
31936,1,4,1,1,1,1
32119,1,2,1,1,1,1
32160,3,5,2,2,2,1
32358,7,15,2,2,1,1
32378,12,18,2,2,2,1
32432,9,18,0,0,1,1
32596,6,8,1,1,1,1
32787,1,2,2,2,2,1
32895,1,8,1,2,2,1
32904,10,12,1,1,1,1
33196,5,7,3,3,3,1
33308,1,1,1,1,1,1
33350,4,7,1,1,1,1
33571,2,2,1,1,1,1
33608,1,1,1,1,1,1
33717,1,1,1,1,1,1
33889,4,15,1,2,1,1
33895,1,1,1,1,1,1
33946,2,6,2,2,2,1
34059,5,10,1,1,1,1
34157,2,2,1,1,1,1
34200,1,2,1,1,1,1
34381,3,4,1,1,1,1
34519,3,6,2,2,2,1
34570,24,30,1,1,1,1
34598,5,6,2,2,2,1
34630,2,2,1,1,1,1
34648,1,1,1,1,1,1
34665,20,28,1,1,2,1
34667,3,4,2,2,1,1
34705,1,4,1,1,1,1
34825,1,1,1,1,1,1
34850,1,1,1,1,1,1
34923,2,3,1,1,1,1
34951,3,5,3,4,4,1
34955,4,6,1,1,1,1
35112,1,3,1,1,1,1
35157,1,1,1,1,1,1
35186,3,4,1,1,1,1
35339,28,51,3,4,1,1
35623,5,5,4,4,4,1
36007,3,6,1,1,1,1
36250,6,7,1,1,1,1
36310,1,2,1,1,1,1
36450,2,8,1,1,1,1
36502,9,11,3,3,3,1
36640,1,1,1,1,1,1
36682,2,4,1,1,1,1
36707,2,4,3,3,1,1
36866,8,8,2,2,2,1
36989,1,2,1,1,1,1
37093,18,25,2,3,1,1
37183,1,1,1,1,1,1
37191,1,1,1,1,1,1
37288,2,4,1,1,1,1
37382,5,9,1,1,1,1
37574,1,1,1,1,1,1
37845,1,2,1,1,1,1
37972,1,2,1,2,1,1
38015,520,852,7,7,2,1
38102,4,7,1,2,1,1
38103,7,10,7,8,7,1
38245,1,1,0,0,1,1
38711,2,3,3,3,2,1
38878,2,2,1,1,1,1
39203,6,12,1,1,1,1
39272,2,3,1,1,1,1
39467,0,0,1,1,1,1
39480,4,11,4,4,4,1
39706,2,4,1,1,1,1
39985,1,1,1,2,1,1
40024,0,0,1,2,1,1
40050,4,15,1,1,1,1
40175,6,9,1,1,1,1
40251,1,2,1,1,1,1
40353,3,10,1,1,1,1
40618,2,2,0,0,1,1
40802,12,13,2,2,1,1
40879,1,1,1,1,1,1
41016,7,16,0,0,1,1
41098,1,1,1,1,1,1
41278,4,6,1,1,1,1
41386,1,2,1,1,1,1
41416,0,0,0,0,1,1
41529,2,4,1,2,1,1
41903,2,6,1,1,1,1
42011,3,4,1,1,1,1
42040,1,4,1,1,1,1
42059,1,2,1,1,1,1
42168,1,1,1,1,1,1
42192,1,1,1,1,1,1
42261,1,1,1,1,1,1
42326,2,3,1,1,1,1
42435,2,13,2,2,1,1
42552,89,129,16,16,13,1
42669,1,1,0,0,1,1
42857,3,3,0,0,1,1
42942,17,40,1,1,1,1
43176,10,14,2,2,2,1
43354,18,24,1,1,1,1
43393,4,4,2,2,1,1
43605,2,2,1,1,1,1
43643,4,8,1,1,1,1
43687,1,1,1,1,1,1
43770,1,4,1,1,1,1
43775,3,3,2,3,1,1
43804,1,1,1,1,1,1
44326,1,1,1,1,1,1
44566,1,2,0,0,1,1
44880,2,9,1,2,2,1
44885,1,2,1,1,1,1
45018,3,96,2,3,2,1
45113,1,2,1,1,1,1
45183,8,8,1,1,1,1
45270,7,11,1,1,1,1
45512,2,3,1,1,1,1
45825,3,7,2,2,2,1
45870,1,4,2,2,2,1
45969,2,4,1,1,1,1
46167,3,4,1,1,2,1
46535,75,94,8,11,4,1
46568,1,1,1,1,1,1
46748,4,7,0,0,1,1
46805,6,12,2,3,1,1
46841,3,5,1,1,1,1
47004,2,2,1,1,1,1
47029,1,1,1,1,2,1
47153,2,2,0,0,1,1
47197,6,8,1,1,1,1
47433,2,4,2,2,1,1
47467,4,4,1,1,1,1
47582,1,3,1,1,1,1
47803,16,28,8,8,2,1
48168,5,9,0,0,1,1
48245,1,5,1,1,1,1
48703,1,1,1,1,1,1
48728,1,1,1,1,3,1
48768,1,2,0,0,1,1
48820,45,88,25,59,34,1
48896,1,1,1,1,1,1
49120,1,2,1,1,1,1
49158,22,36,1,1,1,1
49266,2,5,0,0,1,1
49275,1,1,1,1,1,1
49347,2,5,1,1,1,1
49384,7,9,1,1,1,1
50340,1,2,1,1,1,1
50467,6,7,2,2,1,1
50555,2,4,1,1,1,1
50687,2,2,1,1,1,1
50847,2,4,1,1,1,1
50921,11,30,1,2,2,1
51304,0,0,1,1,1,1
51591,2,2,1,1,1,1
51595,5,7,2,2,2,1
51613,1,1,1,1,1,1
51670,2,7,1,1,1,1
51676,1,1,0,0,1,1
51831,7,8,2,2,2,1
51951,2,3,1,1,1,1
52108,1,4,0,0,1,1
52183,2,4,1,1,1,1
52305,1,1,0,0,1,1
52363,26,28,1,1,1,1
52406,1,1,1,1,1,1
52452,1,4,1,1,1,1
52484,1,1,1,1,1,1
52493,2,2,1,1,1,1
52674,2,3,1,1,1,1
52701,6,9,1,1,1,1
52860,1,1,1,1,1,1
52940,1,3,1,2,1,1
52967,8,10,1,1,1,1
53051,4,4,3,4,3,1
53164,2,3,2,2,2,1
53181,1,3,1,1,1,1
53691,1,1,1,1,1,1
53842,528,729,65,69,64,1
53925,1,4,1,1,1,1
53982,15,27,2,5,2,1
54002,3,4,1,1,1,1
54007,3,6,1,1,1,1
54011,1,2,1,1,1,1
54017,1,2,0,0,1,1
54032,1,1,0,0,1,1
54121,1,1,1,1,1,1
54210,2,3,1,1,1,1
54493,1,1,1,2,2,1
54524,5,10,3,3,3,1
54535,9,24,4,5,4,1
54639,4,7,2,5,1,1
54672,3,5,1,1,1,1
54845,1,1,1,1,1,1
54958,3,4,1,2,1,1
54960,0,0,1,1,1,1
55018,3,4,1,1,1,1
55023,7,9,1,1,1,1
55135,2,2,1,1,1,1
55270,4,14,1,1,1,1
55389,149,193,13,13,7,1
55599,1,2,1,2,1,1
55609,1,1,1,1,1,1
55697,2,3,1,1,1,1
55838,8,23,2,2,4,1
55843,2,2,1,1,1,1
55897,6,8,1,1,1,1
56096,1,1,0,0,1,1
56203,0,0,1,1,1,1
56312,1,3,1,1,1,1
56332,2,5,1,1,1,1
56541,2,5,1,2,1,1
56645,2,13,1,1,1,1
56745,1,4,1,1,1,1
56775,19,31,1,2,2,1
56971,3,7,1,1,1,1
57006,0,0,1,1,1,1
57088,4,7,1,1,1,1
57111,4,5,2,2,1,1
57246,3,7,0,0,1,1
57499,2,4,1,1,1,1
57559,1,1,1,1,1,1
57739,1,1,1,1,1,1
57905,438,636,49,52,44,1
57925,1,1,1,1,1,1
57929,3,5,0,0,1,1
58013,1,2,1,1,1,1
58024,6,14,0,0,2,1
58074,5,15,1,1,1,1
58597,11,16,2,2,2,1
58730,7,7,2,2,1,1
58740,5,6,1,1,1,1
58970,1,3,1,1,1,1
59209,5,9,1,1,1,1
59291,6,14,1,1,2,1
59399,1,2,1,1,1,1
59604,1,1,1,1,1,1
59776,2,3,1,1,1,1
59784,2,6,1,3,1,1
59803,1,1,1,1,1,1
59832,2,4,1,1,1,1
60025,9,18,0,0,1,1
60099,1,1,1,1,1,1
60497,8,10,1,2,1,1
60568,1,3,0,0,1,1
60711,5,5,3,3,3,1
60790,1,1,1,1,1,1
61323,3,9,1,1,1,1
61334,3,3,2,2,1,1
61635,2,2,0,0,1,1
61720,7,12,1,1,1,1
61806,2,5,1,1,1,1
62004,3,6,1,1,1,1
62058,2,2,1,1,1,1
62139,5,6,2,2,2,1
62155,2,5,1,1,1,1
62330,2,5,1,1,1,1
62368,1,3,1,1,1,1
62377,1,4,1,1,1,1
62434,1,1,1,1,1,1
62489,3,7,1,2,1,1
62602,2,7,1,1,1,1
62656,2,5,1,1,1,1
62679,2,3,1,1,1,1
62694,3,6,1,1,1,1
62701,3,4,1,1,1,1
62762,1,3,1,1,1,1
62893,3,4,1,1,1,1
62990,2,2,1,1,1,1
63140,1,2,0,0,1,1
63156,1,1,1,1,1,1
63181,1,2,1,1,1,1
63208,1,1,1,1,1,1
63274,8,14,3,4,3,1
63351,2,2,1,1,1,1
63475,15,34,1,1,1,1
63786,0,0,2,2,2,1
64099,1,1,1,1,1,1
64444,0,0,0,0,1,1
64575,4,8,1,1,1,1
64763,3,12,2,2,2,1
64931,81,188,11,12,5,1
65124,3,4,1,1,1,1
65149,1,1,1,1,1,1
65210,0,0,1,1,1,1
65249,1,3,1,1,1,1
65471,7,18,0,0,1,1
65737,0,0,1,1,1,1
65740,3,4,2,2,2,1
65927,2,6,1,1,1,1
66052,1,1,1,1,1,1
66139,1,1,0,0,1,1
66238,1,2,1,1,1,1
66313,1,4,0,0,1,1
66317,1,4,1,1,1,1
67015,1,1,1,1,2,1
67264,7,10,2,3,1,1
67301,10,18,1,1,1,1
67370,3,5,0,0,1,1
67712,12,27,1,3,2,1
67744,1,2,2,3,2,1
67803,1,2,1,1,1,1
68085,2,11,1,2,2,1
68087,4,7,2,2,1,1
68318,3,6,3,3,2,1
68418,5,7,0,0,1,1
68449,1,1,1,1,1,1
68557,13,16,3,3,2,1
68601,2,4,1,1,1,1
68646,1,1,1,1,1,1
68748,1,2,1,1,1,1
68759,3,5,1,1,1,1
68804,3,4,1,1,1,1
69044,2,3,2,2,2,1
69072,3,3,1,1,1,1
69301,4,9,2,2,2,1
69442,10,19,14,17,2,1
69543,1,1,2,2,2,1
69645,4,11,2,2,2,1
69804,7,11,0,0,1,1
69880,2,4,1,1,1,1
69982,1,2,1,1,1,1
70570,1,1,1,1,1,1
70678,2,2,2,2,1,1
70888,1,2,1,1,1,1
70999,3,3,2,2,2,1
71167,7,13,1,1,1,1
71192,8,13,1,1,1,1
71272,10,13,2,2,2,1
71586,1,3,0,0,1,1
71689,1,3,1,1,1,1
71746,0,0,1,1,1,1
71753,1,2,1,2,1,1
71927,1,2,1,1,1,1
72155,3,4,0,0,1,1
72194,6,16,2,2,1,1
72232,1,2,1,1,1,1
72254,8,11,9,9,2,1
72302,1,3,2,3,2,1
72373,10,12,6,6,1,1
72569,3,3,1,1,1,1
72783,1,1,1,1,1,1
72828,6,16,2,2,1,1
72944,1,1,0,0,1,1
73029,1,2,0,0,1,1
73292,15,16,2,2,2,1
73306,9,22,3,6,6,1
73341,2,5,1,1,1,1
73356,1,6,0,0,1,1
73483,4,4,0,0,1,1
73501,13,14,0,0,1,1
73567,1,3,1,1,2,1
73635,1,1,1,1,1,1
73645,14,28,1,1,1,1
73679,1,2,1,1,1,1
73819,2,5,1,1,1,1
73856,12,24,2,2,3,1
73867,1,6,1,2,1,1
73963,6,8,1,1,1,1
74080,3,4,1,1,1,1
74260,3,5,1,1,1,1
74280,2,2,1,1,1,1
74404,3,5,1,1,1,1
74483,13,31,1,1,1,1
74699,1,6,0,0,1,1
74832,1,2,1,1,1,1
74920,11,20,2,2,2,1
75424,22,52,12,12,10,1
75595,10,18,1,1,1,1
75630,10,25,1,3,3,1
75653,1,1,1,1,1,1
75826,5,8,1,1,1,1
76124,2,4,1,1,1,1
76301,1,3,1,1,2,1
76347,1,2,1,1,1,1
76475,1,1,0,0,1,1
76565,3,7,1,2,1,1
76757,921,1402,249,296,185,1
76913,1,1,1,1,1,1
77032,1,3,1,2,2,1
77215,4,8,3,3,2,1
77253,6,12,2,2,1,1
77261,3,5,1,1,1,1
77268,14,16,1,1,1,1
77524,6,17,1,1,2,1
77659,3,13,1,3,2,1
77669,2,4,1,1,1,1
77868,1,4,1,1,1,1
78006,1,1,1,1,1,1
78067,1,2,1,1,1,1
78383,3,4,2,2,1,1
78476,1,1,0,0,1,1
78755,1,1,1,1,1,1
78878,2,3,1,1,1,1
78882,1,1,1,1,1,1
79201,1,2,1,1,1,1
79279,1,1,1,1,1,1
79312,1,2,0,0,1,1
79452,3,6,1,2,2,1
79566,2,3,1,2,2,1
79681,7,18,1,1,1,1
79721,2,3,2,3,3,1
79743,2,4,2,2,3,1
80034,10,10,1,1,1,1
80204,2,3,3,3,5,1
80244,1,1,1,1,1,1
80267,5,10,1,1,1,1
80364,3,3,2,2,1,1
80434,2,3,1,1,1,1
80580,1,2,1,1,1,1
80604,1,1,1,1,1,1
80635,3,6,1,1,1,1
80964,1,1,1,1,1,1
81526,1,1,1,1,1,1
81638,1,1,1,1,2,1
81688,1,3,1,1,1,1
81742,13,21,3,5,1,1
81811,23,34,2,3,2,1
82009,2,2,1,1,1,1
82051,5,10,1,1,1,1
82084,4,13,1,1,1,1
82251,2,3,1,1,1,1
82318,1,1,2,2,4,1
82581,2,3,1,1,1,1
82759,8,9,1,1,1,1
82819,1,1,1,1,1,1
83052,2,2,1,1,1,1
83319,7,14,2,2,1,1
83368,8,13,1,1,1,1
83600,7,20,3,4,4,1
83748,4,12,1,1,1,1
83823,1,1,1,1,1,1
84233,7,16,1,3,2,1
84275,2,4,1,1,1,1
84327,7,40,0,0,1,1
84494,2,2,1,1,1,1
84580,13,15,1,1,1,1
84646,2,10,1,2,1,1
84660,4,5,1,1,1,1
84928,11,13,2,2,1,1
85201,20,24,5,5,5,1
85383,0,0,1,2,2,1
85555,2,2,1,1,1,1
85658,3,4,0,0,2,1
85734,1049,1420,25,26,15,1
85916,1,4,1,1,1,1
86005,3,7,1,1,1,1
86049,2,3,1,1,1,1
86082,1,1,1,1,1,1
86123,1,2,1,1,1,1
86403,1,1,1,1,1,1
86444,2,5,2,2,1,1
86609,1,2,1,1,1,1
86669,6,9,1,2,1,1
86690,1,2,1,1,1,1
86810,0,0,1,1,1,1
86982,2,7,1,1,1,1
87226,1,6,1,2,1,1
87364,3,4,0,0,2,1
87380,7,7,1,1,1,1
87559,2,4,1,1,1,1
87660,8,12,1,1,1,1
87886,1,2,1,1,1,1
87891,2,2,0,0,1,1
88182,4,14,1,1,1,1
88183,6,8,0,0,1,1
88361,1,1,1,1,1,1
88427,1,2,1,1,1,1
88696,4,11,1,1,1,1
88841,5,12,2,2,1,1
88920,5,10,1,2,1,1
89000,2,16,1,1,1,1
89237,1,1,1,1,1,1
89426,32,54,4,5,1,1
89656,1,1,1,1,1,1
89783,2,5,1,1,2,1
89882,4,6,1,1,1,1
90080,4,8,1,1,1,1
90093,1,1,1,1,1,1
90186,2,6,1,1,1,1
90253,3,4,1,1,1,1
90352,1,2,1,1,1,1
90496,3,17,3,3,2,1
90565,1,2,1,1,1,1
90902,6,6,0,0,1,1
91370,5,6,1,1,1,1
91900,6,24,1,1,1,1
91913,1,1,0,0,1,1
92098,1,3,1,1,1,1
92159,3,7,1,1,1,1
92347,8,14,1,1,1,1
92384,13,21,2,2,2,1
93232,1,1,1,1,1,1
93328,1,1,1,1,1,1
93424,1,3,1,1,1,1
93652,1,2,1,1,1,1
93887,1,1,1,1,1,1
93978,1,2,1,1,1,1
94030,6,13,4,4,4,1
94071,12,19,1,1,1,1
94177,1,1,1,1,1,1
94182,2,5,1,1,1,1
94235,2,6,1,1,1,1
94463,0,0,2,2,2,1
94529,5,18,2,2,1,1
94751,2,8,2,3,1,1
94832,3,5,1,1,1,1
94994,3,3,1,1,1,1
95059,2,4,1,1,1,1
95090,1,1,1,1,1,1
95161,3,7,1,1,1,1
95233,2,2,1,1,1,1
95536,1,1,1,4,1,1
95794,3,7,1,1,1,1
96196,2,5,1,1,1,1
96387,4,4,1,1,1,1
96558,3,10,1,1,1,1
96640,1,1,1,1,1,1
96705,10,16,3,3,1,1
96947,1,1,0,0,1,1
97209,1,1,1,1,1,1
97480,1,1,1,1,1,1
97675,20,31,3,3,12,1
97865,1,2,1,1,1,1
97992,2,2,1,1,1,1
98071,60,121,17,23,6,1
98093,10,15,1,1,1,1
98364,1,1,0,0,1,1
98371,1,11,1,1,1,1
98492,3,3,1,1,1,1
98499,29,66,4,4,1,1
98772,1,1,1,1,2,1
98799,1,4,1,1,1,1
98887,3,3,0,0,1,1
99015,2,2,1,1,1,1
99081,1,1,1,1,1,1
99160,11,17,1,1,1,1
99569,1,1,1,1,1,1
99589,1,1,1,1,1,1
99634,6,6,2,2,1,1
99661,0,0,1,1,1,1
99743,1,2,0,0,1,1
99830,15,34,4,4,2,1
99915,1,2,1,1,1,1
99962,3,3,1,1,1,1
100012,1,1,1,1,1,1
100020,2,3,1,1,1,1
100067,1,2,1,1,1,1
100198,2,4,1,1,1,1
100439,54,72,1,1,1,1
100459,3,3,1,1,1,1
100539,1,1,1,1,1,1
100790,7,7,1,1,1,1
100809,3,3,5,5,3,1
100840,1,1,1,1,1,1
100852,3,5,1,1,1,1
100894,3,7,1,2,1,1
100988,2,2,2,2,2,1
101161,5,7,2,2,1,1
101175,87,150,16,20,24,1
101483,5,6,1,1,1,1
101633,1,1,1,1,1,1
101747,1,1,1,1,1,1
101821,1,1,1,1,1,1
102019,2,6,1,1,2,1
102227,1,1,1,1,1,1
102454,1,3,0,0,1,1
102507,2,3,3,3,3,1
102636,1,1,1,1,1,1
102676,1,2,1,1,1,1
102742,13,22,1,1,1,1
102877,3,8,1,1,1,1
102957,2,7,1,1,1,1
103171,2,2,1,1,1,1
103408,1,1,1,1,1,1
103637,45,57,6,6,5,1
103744,5,9,0,0,1,1
103808,2,5,1,1,1,1
103993,1,2,1,2,2,1
104058,3,11,5,6,5,1
104182,1,2,1,1,1,1
104260,3,4,1,1,1,1
104434,1,2,1,1,1,1
104522,2,3,1,1,1,1
104560,1,3,1,1,1,1
104815,2,5,1,1,1,1
104850,1,2,1,1,1,1
104866,2,3,1,1,1,1
104929,1,1,1,1,1,1
104974,41,57,8,8,2,1
105003,1,3,1,1,1,1
105033,3,8,1,1,1,1
105090,1,2,1,1,1,1
105164,5,8,1,1,1,1
105283,1,1,1,1,1,1
105465,4,9,0,0,1,1
105552,1,1,1,1,1,1
105693,2,5,0,0,1,1
105729,5,6,0,0,1,1
105795,1,1,1,1,1,1
105857,3,3,1,1,1,1
106106,1,4,1,1,1,1
106381,2,3,1,1,1,1
106470,1,3,1,1,1,1
106515,2,2,0,0,1,1
106554,0,0,0,0,1,1
106626,1,2,1,2,1,1
106733,1,1,1,1,1,1
107007,1,1,1,1,1,1
107025,1,4,1,1,1,1
107314,1,1,1,1,1,1
107692,13,16,1,1,1,1
107797,2,5,1,1,1,1
107935,1,3,1,1,1,1
107944,5,10,2,2,1,1
107998,1,1,0,0,1,1
108101,1,1,0,0,1,1
108464,1,1,1,1,1,1
108570,1,1,0,0,1,1
108759,35,44,4,7,1,1
108813,1,1,1,1,1,1
108868,0,0,3,3,1,1
108972,5,12,1,2,1,1
108997,1,25,1,2,1,1
109095,1,2,1,1,1,1
109106,4,7,0,0,1,1
109184,6,9,5,5,6,1
109246,3,5,1,1,1,1
109293,2,3,1,1,1,1
109357,32,46,19,36,19,1
109408,2,5,1,1,1,1
109433,1,2,1,1,1,1
109662,5,19,1,1,1,1
109670,2,2,1,1,1,1
109717,0,0,0,0,2,1
109721,2,2,1,1,1,1
109826,1,1,1,1,1,1
109850,3,13,2,5,1,1
109926,1,1,1,1,1,1
109982,1,3,1,1,1,1
110014,1,4,1,1,1,1
110090,1,3,1,1,1,1
110227,1,1,2,2,1,1
110412,3,10,2,2,2,1
110481,1,1,1,1,1,1
110561,5,7,1,1,2,1
110606,2,2,1,1,1,1
110660,1,3,1,1,1,1
110905,1,6,1,1,1,1
111080,2,6,1,1,1,1
111209,9,27,1,1,1,1
111325,1,3,1,1,1,1
111382,1,3,1,1,1,1
111668,2,2,1,1,1,1
111748,1,1,1,1,1,1
112167,1,3,0,0,1,1
112253,1,1,1,1,1,1
112257,1,1,0,0,1,1
112323,5,11,2,2,1,1
112417,7,13,1,1,1,1
112518,1,4,1,1,1,1
112578,1,1,1,1,1,1
112596,3,4,1,1,1,1
112757,2,13,2,2,4,1
112855,2,2,1,1,1,1
113028,2,3,1,1,1,1
113137,24,38,4,6,3,1
113314,0,0,1,1,1,1
113592,2,2,1,1,1,1
113634,1,2,1,1,1,1
113995,4,8,2,2,1,1
114108,1,2,1,1,1,1
114349,1,1,1,1,1,1
114403,1,4,1,1,1,1
114450,1,1,1,1,1,1
114828,1,6,1,1,1,1
114903,1,2,1,1,1,1
114915,3,4,1,1,1,1
115055,2,4,1,1,1,1
115257,25,60,5,5,5,1
115417,5,21,1,1,1,1
115573,1,2,1,1,1,1
